name, artist, genre
Tap In,Saweetie,Hip-Hop
21,Polo G,Hip-Hop
Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,Hip-Hop
Kacey Talk,YoungBoy Never Broke Again,Hip-Hop
The Bigger Picture,Lil Baby,Hip-Hop
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,Hip-Hop
Martin & Gina,Polo G,Hip-Hop
ROCKSTAR (feat. Roddy Ricch),DaBaby,Hip-Hop
Smile (with The Weeknd),Juice WRLD,Hip-Hop
Muwop (feat. Gucci Mane),Mulatto,Hip-Hop
Said Sum,Moneybagg Yo,Hip-Hop
Bleed,A Boogie Wit da Hoodie,Hip-Hop
BLIND (feat. Young Thug),DaBaby,Hip-Hop
Conversations,Juice WRLD,Hip-Hop
Pussy Talk,City Girls,Hip-Hop
Roses Remix (feat. Future),SAINt JHN,Hip-Hop
INDUSTRY GAMES,CHIKA,Hip-Hop
No Sense (feat. Key Glock),Young Dolph,Hip-Hop
Stuntin' On You (feat. DaBaby),Tyla Yaweh,Hip-Hop
Over Your Head,Future,Hip-Hop
Through The Wire,Rod Wave,Hip-Hop
The Climb Back,J. Cole,Hip-Hop
Need It,Migos,Hip-Hop
Girls in the Hood,Megan Thee Stallion,Hip-Hop
Shotta Flow 5,NLE Choppa,Hip-Hop
Letter From Houston,Rod Wave,Hip-Hop
Not A Rapper (feat. Lil Baby & Yo Gotti),42 Dugg,Hip-Hop
Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,Hip-Hop
The Plan - From the Motion Picture "TENET",Travis Scott,Hip-Hop
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Hip-Hop
Laugh Now Cry Later (feat. Lil Durk),Drake,Hip-Hop
We Paid (feat. 42 Dugg),Lil Baby,Hip-Hop
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,Hip-Hop
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Hip-Hop
Patek,Future,Hip-Hop
In n Out (feat. City Girls),Mulatto,Hip-Hop
Rags2Riches 2 (feat. Lil Baby),Rod Wave,Hip-Hop
Automatic,Jack Harlow,Hip-Hop
Tap In,Saweetie,Hip-Hop
POPSTAR (feat. Drake),DJ Khaled,Hip-Hop
Back It Up (feat. Flo Milli),Trap Beckham,Hip-Hop
WAP (feat. Megan Thee Stallion),Cardi B,Hip-Hop
ROCKSTAR (feat. Roddy Ricch),DaBaby,Hip-Hop
Tip Toe,Sheff G,Hip-Hop
Said Sum,Moneybagg Yo,Hip-Hop
Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,Hip-Hop
Aw Aw,Russ,Hip-Hop
After Party,Don Toliver,Hip-Hop
Benz,Young Dolph,Hip-Hop
Don't Be Mad At Me - Remix,Problem,Hip-Hop
PICK UP (feat. Quavo),DaBaby,Hip-Hop
Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,Hip-Hop
I Remember,YBN Nahmir,Hip-Hop
Flag On The Play,Blacc Zacc,Hip-Hop
Shotta Flow 5,NLE Choppa,Hip-Hop
Hood Baby – Remix feat. Lil Gotit,KBFR,Hip-Hop
In The Party,Flo Milli,Hip-Hop
Stuntin' On You (feat. DaBaby),Tyla Yaweh,Hip-Hop
Go Crazy,Chris Brown,Hip-Hop
RNB (feat. Megan Thee Stallion),Young Dolph,Hip-Hop
Make Em Say (feat. Mulatto),NLE Choppa,Hip-Hop
On God,Mulatto,Hip-Hop
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,Hip-Hop
Mission,Dave East,Hip-Hop
BILLBOARD BABY,DaBaby,Hip-Hop
Love In The Club,J.I the Prince of N.Y,Hip-Hop
Top Gone (with Lunay),Lil Mosey,Hip-Hop
Make It Rain,Pop Smoke,Hip-Hop
Woodlawn,Aminé,Hip-Hop
Cafeteria (feat. Gunna),CHASE B,Hip-Hop
WUNNA,Gunna,Hip-Hop
Know My Rights (feat. Lil Baby),6LACK,Hip-Hop
GO,DaBaby,Hip-Hop
ONE WATCH (feat. Young Thug),Gunna,Hip-Hop
Prospect (ft. Lil Baby),iann dior,Hip-Hop
Money Maker (feat. Lil Wayne),2 Chainz,Hip-Hop
Dior - Bonus,Pop Smoke,Hip-Hop
Ah Ah Ah,DreamDoll,Hip-Hop
Move Like a Boss (feat. Young M.A),Fivio Foreign,Hip-Hop
Right Wit It - Remix,Kalan.FrFr,Hip-Hop
GAH DAMN HIGH,Juicy J,Hip-Hop
Deep End Freestyle,Sleepy Hallow,Hip-Hop
Back At It (feat. Lil Baby),Lil Mosey,Hip-Hop
THE SCOTTS,THE SCOTTS,Hip-Hop
Over Your Head,Future,Hip-Hop
Girls in the Hood,Megan Thee Stallion,Hip-Hop
Loose Screw,30 Deep Grimeyy,Hip-Hop
Blueberry Faygo,Lil Mosey,Hip-Hop
Not Friendly,Flo Milli,Hip-Hop
Perfect,Logic,Hip-Hop
How We Do It (feat. Wiz Khalifa),Shoreline Mafia,Hip-Hop
Moana,G-Eazy,Hip-Hop
Need It,Migos,Hip-Hop
Convertible Burt - From Road To Fast 9 Mixtape,Tory Lanez,Hip-Hop
Turn Left Turn Right,Smoove'L,Hip-Hop
Kirk Franklin (Feat. Mulatto),Duke Deuce,Hip-Hop
Not A Rapper (feat. Lil Baby & Yo Gotti),42 Dugg,Hip-Hop
Yea Yea,Blueface,Hip-Hop
Bleed,A Boogie Wit da Hoodie,Hip-Hop
Roses Remix (feat. Future),SAINt JHN,Hip-Hop
Pussy Talk,City Girls,Hip-Hop
Turks (feat. Travis Scott),NAV,Hip-Hop
6locc 6a6y (feat. NLE Choppa) - Remix,Lil Loaded,Hip-Hop
BIG (feat. Rubi Rose),Day Sulan,Hip-Hop
Jobs,City Girls,Hip-Hop
Walk Em Down (feat. Roddy Ricch),NLE Choppa,Hip-Hop
Racks 2 Skinny,Migos,Hip-Hop
Wet (She Got That…),YFN Lucci,Hip-Hop
Levi High (feat. DaBaby),DaniLeigh,Hip-Hop
That's A Fact (feat. Fivio Foreign & Mr. Swipey) - Remix,French Montana,Hip-Hop
Lions & Eagles (feat. Meek Mill),Tee Grizzley,Hip-Hop
Jump Off,Flipp Dinero,Hip-Hop
Play Wit It,Renni Rucci,Hip-Hop
See Me,Tokyo Jetz,Hip-Hop
Toosie Slide,Drake,Hip-Hop
Wetty,Fivio Foreign,Hip-Hop
Shimmy (with Doja Cat),Lil Wayne,Hip-Hop
Savage Remix (feat. Beyoncé),Megan Thee Stallion,Hip-Hop
I Like Him,Princess Nokia,Hip-Hop
S.O.T.L. (Silence of the Lambs) [feat. Lil Wayne],Ludacris,Hip-Hop
Right Or Wrong (feat. Lil Uzi Vert),Shy Glizzy,Hip-Hop
Split It,Doe Boy,Hip-Hop
Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,Hip-Hop
Heatin Up (feat. Gunna),Lil Baby,Hip-Hop
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,Hip-Hop
24 (feat. Lil Baby),Money Man,Hip-Hop
Lemonade,Internet Money,Hip-Hop
Free Merey,42 Dugg,Hip-Hop
Rags2Riches 2 (feat. Lil Baby),Rod Wave,Hip-Hop
Pull Up (feat. 21 Savage),Mulatto,Hip-Hop
Got It On Me,Pop Smoke,Hip-Hop
13 Going On 30,Fivio Foreign,Hip-Hop
Tip Toe,Sheff G,Hip-Hop
Painless 2 (with NAV feat. Lil Durk),J.I the Prince of N.Y,Hip-Hop
Stuntin' On You (feat. DaBaby),Tyla Yaweh,Hip-Hop
Count Up,BlocBoy JB,Hip-Hop
She Know (feat. Lil Baby),Lil Keed,Hip-Hop
Throat Baby (Go Baby),BRS Kash,Hip-Hop
Off Top (feat. 42 Dugg),Mulatto,Hip-Hop
Daydream,NLE Choppa,Hip-Hop
Married To My Enemies,Jackboy,Hip-Hop
Back At It (feat. Lil Baby),Lil Mosey,Hip-Hop
Fake Sh!t,Dee Watkins,Hip-Hop
Woodlawn,Aminé,Hip-Hop
EAT,Tobe Nwigwe,Hip-Hop
Free Joe Exotic,Bfb Da Packman,Hip-Hop
Not A Rapper (feat. Lil Baby & Yo Gotti),42 Dugg,Hip-Hop
Aim For The Moon (feat. Quavo),Pop Smoke,Hip-Hop
Yea Yea (feat. A Boogie Wit da Hoodie),Derez De’Shon,Hip-Hop
WRONG (feat. Lil Mosey),The Kid LAROI,Hip-Hop
Scoring,Kalan.FrFr,Hip-Hop
Truth Be Told,Toosii,Hip-Hop
Rich Today,Flipp Dinero,Hip-Hop
Legends (feat. Benny The Butcher),Don Q,Hip-Hop
Lions & Eagles (feat. Meek Mill),Tee Grizzley,Hip-Hop
Make Em Say (feat. Mulatto),NLE Choppa,Hip-Hop
Ain't Sweet (feat. Matt Ox),Buddy,Hip-Hop
Crocodile Tears,Cousin Stizz,Hip-Hop
Holy Water,Calboy,Hip-Hop
Riri,Aminé,Hip-Hop
Detroit Flow,Quin Nfn,Hip-Hop
Racin' (feat. Lil Tjay),KJ Balla,Hip-Hop
IPHONE,Rico Nasty,Hip-Hop
Kick It (feat. Jace),Childish Major,Hip-Hop
Murda Talk,NLE Choppa,Hip-Hop
In My City,Jackboy,Hip-Hop
Freestyle,Rod Wave,Hip-Hop
Home Team (feat. Dreebo),Dame D.O.L.L.A,Hip-Hop
I Remember,YBN Nahmir,Hip-Hop
My Power - From "Project Power",CHIKA,Hip-Hop
Hood Scars 2 (with Lil Tjay),J.I the Prince of N.Y,Hip-Hop
Bounce Back (feat. Jay Anthony),Rexx Life Raj,Hip-Hop
803 Legend,Blacc Zacc,Hip-Hop
Couped Out (feat. Fivio Foreign),Famous Dex,Hip-Hop
Back For My Ends,YSN Flow,Hip-Hop
Whole Lotta Choppas,Sada Baby,Hip-Hop
CITY ROLLING (feat. YSN Flow),Melvoni,Hip-Hop
Fox 5 (feat. Gunna),Lil Keed,Hip-Hop
Through The Wire,Rod Wave,Hip-Hop
Narrow Road (feat. Lil Baby),NLE Choppa,Hip-Hop
6locc 6a6y (feat. NLE Choppa) - Remix,Lil Loaded,Hip-Hop
Different,Sleepy Hallow,Hip-Hop
Drip Keep Going (with Key Glock),03 Greedo,Hip-Hop
1999,Quando Rondo,Hip-Hop
Cafeteria (feat. Gunna),CHASE B,Hip-Hop
Cash App,Dee Watkins,Hip-Hop
Compensating (feat. Young Thug),Aminé,Hip-Hop
How (feat. 42 Dugg),Brokeasf,Hip-Hop
Hatchback,Cochise,Hip-Hop
Move Like a Boss (feat. Young M.A),Fivio Foreign,Hip-Hop
Gangstas,Pop Smoke,Hip-Hop
Muwop (feat. Gucci Mane),Mulatto,Hip-Hop
Kirk Franklin (Feat. Mulatto),Duke Deuce,Hip-Hop
On the Low (feat. Kodak Black),Shoreline Mafia,Hip-Hop
Rari (feat. Future),Octavian,Hip-Hop
Do What I Do,BlocBoy JB,Hip-Hop
Respect My Cryppin’ (Remix),Blueface,Hip-Hop
BODYCOUNT (feat. Jasiah),TOKYO’S REVENGE,Hip-Hop
Twisted (feat. 42 Dugg),Lil Keed,Hip-Hop
Cookies,Germ,Hip-Hop
Loose Screw,30 Deep Grimeyy,Hip-Hop
G-Route,Quin Nfn,Hip-Hop
Why He Told,King Von,Hip-Hop
Fake Love (feat. Polo G),Calboy,Hip-Hop
STACKHOUSE,Melvoni,Hip-Hop
Don't Wanna Do It,Dirty Tay,Hip-Hop
Lost Ties,Jackboy,Hip-Hop
Oh Yea,Metro Marrs,Hip-Hop
Orgasm Full Of Pain (feat. Deante Hitchcock),Guapdad 4000,Hip-Hop
Bizerk,Drewboy,Hip-Hop
Do Better,Coi Leray,Hip-Hop
NEIGHBORHOOD SUPPLIER (feat. Stunna 4 Vegas),Justin Rarri,Hip-Hop
May I,Flo Milli,Hip-Hop
Letter From Houston,Rod Wave,Hip-Hop
Baguetti (with JID & Kenny Beats),Smino,Hip-Hop
Pop Out,N7,Hip-Hop
Bolt,OMB Bloodbath,Hip-Hop
Rich Criminals (feat. DaBaby),NoCap,Hip-Hop
Clueless,Calboy,Hip-Hop
Baby,Blueface,Hip-Hop
Burn The Hoods,Ski Mask The Slump God,Hip-Hop
DEPARTED (feat. Smoove'L),Justin Rarri,Hip-Hop
Count A Million (feat. Lil Uzi Vert),NoCap,Hip-Hop
No Hook (feat. Benny the Butcher),Reese LAFLARE,Hip-Hop
WAP (feat. Megan Thee Stallion),Cardi B,Hip-Hop
Tap In,Saweetie,Hip-Hop
In n Out (feat. City Girls),Mulatto,Hip-Hop
Girls in the Hood,Megan Thee Stallion,Hip-Hop
In The Party,Flo Milli,Hip-Hop
Pussy Talk,City Girls,Hip-Hop
Muwop (feat. Gucci Mane),Mulatto,Hip-Hop
Savage Remix (feat. Beyoncé),Megan Thee Stallion,Hip-Hop
Not Friendly,Flo Milli,Hip-Hop
B*tch From Da Souf (Remix),Mulatto,Hip-Hop
Bussin 2.0 (with Saweetie),Tay Money,Hip-Hop
Jobs,City Girls,Hip-Hop
